ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,1048576,1.032,0,13.39165,8.09661,8.85956,4.46654,2.70807,2.96305,2.23793,1.35863,1.48324,1.13597,0.70801,0.74511
"RankSelect101111",2,1048576,1.032,0,10.77590,8.85654,9.70932,3.60997,2.95636,3.23861,1.80892,1.48685,1.62348,0.92779,0.77724,0.81408
"Rank9",2,1048576,1.250,0,6.43175,1.29529,1.60246,2.14948,0.49738,0.55244,1.07861,0.31012,0.29989,0.54350,0.17664,0.16596
"RankSmall<1, 11>",2,1048576,1.032,0,11.30199,9.39307,9.48227,3.78229,3.13369,3.16822,1.89681,1.57926,1.59173,0.97308,0.82238,0.80171
"BiRank",2,1048576,1.033,0,11.53310,2.25698,2.99339,3.84748,0.76599,1.00244,1.92809,0.41369,0.50912,0.96670,0.22031,0.26138
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.07697,10.62326,10.73449,4.35500,3.54120,3.58294,2.18265,1.77899,1.79963,1.11803,0.91892,0.90128
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,34359738368,1.031,0,211.73903,39.84424,34.25766,77.50597,13.84756,8.28948,38.63217,7.01682,4.12688,19.76487,3.59280,2.17083
"RankSelect101111",2,34359738368,1.031,0,227.82632,45.80751,30.53129,77.79839,15.74612,10.73834,39.20108,7.99775,5.49487,20.05851,4.27714,2.92265
"Rank9",2,34359738368,1.250,0,237.46580,33.01243,31.44647,80.50916,11.91906,11.50172,40.41702,6.09174,5.89871,20.73174,3.31275,3.15560
"RankSmall<1, 11>",2,34359738368,1.031,0,232.12919,51.14125,35.37665,79.29324,17.55123,12.17828,39.71350,9.03763,6.33777,20.38262,4.91568,3.62805
"BiRank",2,34359738368,1.033,0,218.27894,30.33333,19.43131,76.77959,10.35303,6.48817,38.29948,5.29177,3.42174,19.45358,2.79659,1.83874
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,221.24682,44.04182,23.79035,76.27663,15.31334,8.56695,38.42100,7.80091,4.41871,19.59970,4.29868,2.51586
