ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,1048576,1.032,0,13.14962,8.18975,8.76518,4.38409,2.74098,2.92676,2.19585,1.37473,1.46583,1.10580,0.71966,0.73591
"RankSelect101111",2,1048576,1.032,0,10.82787,8.50510,9.63043,3.60864,2.84273,3.21504,1.81613,1.43120,1.60771,0.93696,0.74709,0.80851
"Rank9",2,1048576,1.250,0,6.42943,1.30407,1.61187,2.14564,0.52369,0.55175,1.07706,0.30345,0.30655,0.54271,0.17987,0.17389
"RankSmall<1, 11>",2,1048576,1.032,0,11.03045,9.33689,9.86329,3.67989,3.11286,3.28883,1.85076,1.56441,1.64840,0.95012,0.81264,0.83094
"BiRank",2,1048576,1.033,0,9.83154,3.13443,3.46410,3.27056,1.05408,1.15893,1.64128,0.55481,0.59113,0.82557,0.28646,0.29948
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.01190,10.27372,10.87778,4.33966,3.43058,3.62571,2.17934,1.72161,1.81758,1.11204,0.88898,0.91100
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,34359738368,1.031,0,212.39204,39.85079,34.07145,77.86208,13.78019,8.22132,38.90377,7.00190,4.08813,19.54479,3.61612,2.11512
"RankSelect101111",2,34359738368,1.031,0,227.17512,45.77856,30.93685,77.68108,15.16279,10.30107,39.42367,8.01554,5.51286,19.82372,4.24778,2.89114
"Rank9",2,34359738368,1.250,0,233.44918,32.96139,31.43900,79.90238,11.48374,10.90222,40.26300,6.04377,5.86136,20.30587,3.26477,3.07674
"RankSmall<1, 11>",2,34359738368,1.031,0,207.53129,50.96655,34.18248,80.01258,17.21695,11.98992,39.64857,8.92772,6.33117,20.06924,4.88928,3.60957
"BiRank",2,34359738368,1.033,0,173.53415,39.47568,20.14305,76.75057,14.83597,6.74435,38.01391,7.61056,3.47938,19.27638,4.10999,1.85097
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,222.01253,35.99853,24.48626,76.93316,15.29249,8.33582,38.03252,7.82212,4.41223,19.14351,4.24905,2.49567
