ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,1048576,1.032,0,20.96809,11.76785,12.81585,14.23988,10.78367,6.64685,11.77226,7.68728,9.58556,6.36209,4.93275,5.19718
"RankSelect101111",2,1048576,1.032,0,11.86865,10.04032,12.92741,3.72452,3.18067,6.46884,6.93020,9.86576,8.83449,4.22476,3.36281,4.76660
"Rank9",2,1048576,1.250,0,7.28983,2.22499,2.96450,5.19050,1.43088,2.42273,4.22870,1.62709,2.39983,3.09492,1.64468,0.89340
"RankSmall<1, 11>",2,1048576,1.032,0,14.46255,13.23363,12.67703,9.05027,12.21645,9.16013,7.03716,8.72555,10.22755,5.66848,5.34805,4.85893
"BiRank",2,1048576,1.033,0,16.52173,4.06914,5.37728,13.54076,3.36018,5.40718,11.57511,3.94304,4.71435,6.68581,2.48535,2.55592
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,14.70501,12.44886,13.68492,9.80037,12.44941,10.55149,12.22280,12.41189,12.60097,5.28876,10.90184,4.87245
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,34359738368,1.031,0,151.53047,65.42358,19.96674,55.67728,23.78326,8.68919,49.26189,24.75503,8.54180,45.34759,20.13080,6.81566
"RankSelect101111",2,34359738368,1.031,0,136.70718,41.73189,33.19350,55.36610,18.98595,14.99365,43.50365,19.06098,14.00396,47.00512,15.39635,11.08133
"Rank9",2,34359738368,1.250,0,142.17337,26.39471,20.80746,53.82831,12.37339,11.76503,51.01534,11.51798,11.53952,60.83747,10.22748,8.76480
"RankSmall<1, 11>",2,34359738368,1.031,0,146.44259,53.59810,36.53335,56.69662,22.07657,15.29796,50.65967,20.32470,13.18992,44.19436,17.91137,11.78980
"BiRank",2,34359738368,1.033,0,141.96356,34.49374,13.32584,54.20102,15.20173,6.88541,47.11079,13.84765,8.56972,49.12480,19.54909,10.07306
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,133.25074,43.98095,15.17064,57.08111,15.87269,8.82711,52.94699,14.99523,5.29563,39.02587,14.94598,4.75168
