ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,1048576,1.032,0,19.76510,10.56221,11.48132,6.58976,3.50160,3.78784,5.49040,2.94561,3.23192,4.94557,2.63312,2.84616
"RankSelect101111",2,1048576,1.032,0,11.07273,9.47668,11.47882,3.62800,3.13105,3.80177,3.07528,2.61042,3.08732,2.71136,2.27485,2.71764
"Rank9",2,1048576,1.250,0,7.15609,2.04956,2.59534,2.38711,0.68989,0.83483,2.01679,0.72165,0.81269,1.78872,0.53844,0.62835
"RankSmall<1, 11>",2,1048576,1.032,0,13.03792,10.89221,11.63758,4.35638,3.63611,3.98550,3.52804,3.10659,3.37321,3.26524,2.74655,2.95785
"BiRank",2,1048576,1.033,0,11.29139,4.63804,5.63535,3.76696,1.54424,1.84815,3.05325,1.35218,1.60674,2.82526,1.15187,1.38817
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,14.17939,11.74290,13.04633,4.72083,3.84694,4.28026,3.98899,3.33046,3.62092,3.53758,2.91967,3.22639
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,34359738368,1.031,0,167.12674,68.10519,23.55330,61.37182,25.17292,9.59605,52.21159,21.25752,8.38988,47.43152,19.46264,7.91836
"RankSelect101111",2,34359738368,1.031,0,152.58749,45.65947,35.13492,56.87428,17.35579,13.21986,48.20746,13.87957,11.39621,44.08191,13.42429,10.44365
"Rank9",2,34359738368,1.250,0,153.83453,28.13336,21.87997,57.51392,11.55381,9.07348,48.85101,10.15467,8.03931,44.45828,9.40991,7.53974
"RankSmall<1, 11>",2,34359738368,1.031,0,153.25606,59.86906,37.18121,57.07233,22.56947,13.83802,48.40243,18.10778,12.16332,44.00335,17.66840,11.14356
"BiRank",2,34359738368,1.033,0,134.02358,41.44310,13.64240,46.50204,16.00104,6.07909,41.68128,13.28734,5.13850,37.85712,12.31996,5.05400
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,132.99608,42.46055,15.84543,48.72462,15.43445,5.76233,41.46554,12.40473,5.09315,37.85226,11.91627,4.63217
