ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,1048576,1.032,0,13.43035,8.08523,8.84292,6.69435,4.04836,4.42607,3.34767,2.02804,2.21602,1.67652,1.01911,1.10938,0.84113,0.51124,0.55660,0.42613,0.26350,0.28478,0.25109,0.19106,0.16785
"RankSelect101111",2,1048576,1.032,0,10.82128,8.83995,9.67335,5.39876,4.42424,4.85113,2.71541,2.22779,2.42590,1.35751,1.11601,1.21566,0.68345,0.56055,0.61037,0.34715,0.28649,0.31228,0.20448,0.16616,0.19670
"Rank9",2,1048576,1.250,0,6.41520,1.29560,1.59762,3.20706,0.67670,0.80615,1.61334,0.44059,0.44319,0.80899,0.23284,0.23716,0.40679,0.13774,0.12970,0.21043,0.10710,0.09645,0.13068,0.11324,0.09935
"RankSmall<1, 11>",2,1048576,1.032,0,11.26586,9.37887,9.44939,5.63901,4.69134,4.74645,2.82973,2.35867,2.40083,1.42110,1.18423,1.20038,0.71282,0.59528,0.60138,0.36321,0.30536,0.30713,0.20699,0.17515,0.17819
"BiRank",2,1048576,1.033,0,11.56611,2.24332,2.97458,5.84193,1.12282,1.48868,2.89763,0.59703,0.75382,1.45317,0.32294,0.38646,0.73135,0.17248,0.19777,0.36992,0.11830,0.11519,0.24827,0.10282,0.10928
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.00684,10.60553,10.72624,6.52127,5.30759,5.37080,3.27245,2.66090,2.68696,1.63516,1.33566,1.34782,0.82245,0.67119,0.67745,0.41481,0.34175,0.34367,0.24174,0.19707,0.20126
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,34359738368,1.031,0,167.05046,33.24311,27.24523,97.77402,17.13993,10.46679,47.71864,8.76425,4.48812,24.04921,4.50453,2.34361,12.20544,2.41074,1.33069,6.18558,1.43990,1.04926,3.20678,0.97968,1.04781
"RankSelect101111",2,34359738368,1.031,0,187.10484,38.04972,27.87927,95.88797,19.33764,15.01610,47.84275,9.87118,7.54436,24.08180,5.07042,3.85044,12.12608,2.97554,2.17555,6.23625,1.89426,1.36229,3.36945,1.50026,1.10840
"Rank9",2,34359738368,1.250,0,198.38965,24.29332,16.49673,75.07098,12.28428,7.50477,50.40270,6.67950,4.75978,25.33415,3.71097,2.62526,12.79885,2.31374,1.71390,6.64725,1.60578,1.45311,3.57713,1.39217,1.31517
"RankSmall<1, 11>",2,34359738368,1.031,0,112.26952,30.61341,21.76580,56.87830,15.43733,11.78849,37.10295,8.48215,7.96636,24.34432,5.88146,4.50140,12.34617,3.55495,2.76781,6.46594,2.38710,2.09762,3.60491,1.89066,1.74807
"BiRank",2,34359738368,1.033,0,146.51610,25.12475,12.67100,88.31225,12.78708,6.03498,47.05112,6.54784,3.50077,23.51938,3.44304,1.86509,11.83391,1.91968,1.13112,5.99098,1.22564,0.96447,3.08421,0.91140,0.84330
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,177.43008,36.22763,15.96544,90.53546,18.26595,8.71827,46.16453,9.77049,4.70655,22.97075,5.19694,2.63184,11.74603,3.06335,1.80215,6.08463,2.04586,1.55878,3.30769,1.51521,1.31036
