ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,1048576,1.032,0,13.12019,8.17665,8.74262,6.56376,4.08629,4.37640,3.28823,2.05666,2.19359,1.64987,1.03031,1.09875,0.82651,0.51776,0.55099,0.41834,0.26684,0.28682,0.24028,0.15445,0.21354
"RankSelect101111",2,1048576,1.032,0,10.81039,8.47730,9.61294,5.42566,4.24549,4.81065,2.71875,2.13632,2.40715,1.36238,1.07507,1.20635,0.68475,0.54003,0.60601,0.34834,0.27601,0.30822,0.20190,0.16428,0.23409
"Rank9",2,1048576,1.250,0,6.40914,1.29535,1.59621,3.20476,0.69894,0.80229,1.60879,0.36587,0.40486,0.80630,0.23490,0.23592,0.40603,0.14637,0.13534,0.20686,0.10431,0.10018,0.12594,0.10771,0.10243
"RankSmall<1, 11>",2,1048576,1.032,0,11.05550,9.29780,9.83038,5.52041,4.64742,4.93842,2.76793,2.33221,2.47257,1.39069,1.16651,1.23875,0.69738,0.58649,0.62024,0.35293,0.29824,0.31754,0.20195,0.17147,0.18530
"BiRank",2,1048576,1.033,0,9.84683,3.09544,3.44678,4.95209,1.55079,1.73166,2.49143,0.79920,0.86730,1.26719,0.41800,0.44214,0.64276,0.21586,0.22507,0.32636,0.11975,0.12585,0.18889,0.10847,0.10411
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.02618,10.28488,10.85124,6.50280,5.13297,5.43179,3.25859,2.57662,2.71904,1.63837,1.29421,1.36330,0.82111,0.65042,0.68334,0.41476,0.33326,0.35068,0.25263,0.18788,0.20310
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,34359738368,1.031,0,127.06001,24.41029,17.99303,94.42499,14.05537,9.62474,49.05933,8.71496,4.55453,24.17537,4.52362,2.35738,12.22140,2.41841,1.35167,6.18992,1.44722,1.07679,3.21936,1.01596,1.07661
"RankSelect101111",2,34359738368,1.031,0,161.78274,26.89905,21.21841,63.15901,14.18495,10.09350,46.91974,9.72551,7.33309,23.93581,5.17653,3.94045,12.10188,2.93548,2.16997,6.21599,1.89787,1.34847,3.37737,1.42233,1.04691
"Rank9",2,34359738368,1.250,0,126.55964,18.69611,11.73675,97.81914,12.46815,7.66682,49.82221,6.64677,4.45103,25.21984,3.69737,2.63729,12.80110,2.30796,1.68651,6.63290,1.60280,1.43372,3.56238,1.33462,1.30285
"RankSmall<1, 11>",2,34359738368,1.031,0,129.03765,30.14781,22.76231,94.30557,16.81291,15.57739,47.34151,10.82513,8.09499,24.19545,5.91637,4.50034,12.32499,3.52227,2.73247,6.46132,2.39865,2.08700,3.61656,1.87992,1.73110
"BiRank",2,34359738368,1.033,0,122.45242,23.79917,10.59936,63.34022,14.26854,6.30169,46.85150,9.12889,3.44215,23.20116,4.93525,1.97032,11.66617,2.87597,1.17127,6.05187,1.85951,0.92786,3.27011,1.44824,0.77577
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,125.37820,32.52954,17.16131,70.05930,18.81863,7.83072,46.03025,9.72498,4.60171,23.13812,5.17930,2.60575,11.74337,3.05732,1.78846,6.08136,1.99810,1.54768,3.30145,1.52293,1.29726
