ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,1048576,1.032,0,13.13037,8.14171,8.97950,6.58334,4.08578,4.49326,3.29377,2.04284,2.24909,1.64747,1.02655,1.12485,0.82510,0.51353,0.56395,0.46111,0.28940,0.31514,0.44886,0.27488,0.31904
"RankSelect101111",2,1048576,1.032,0,10.75029,8.32273,9.47911,5.37647,4.16200,4.74518,2.69255,2.08560,2.37514,1.34845,1.04497,1.18885,0.67504,0.52530,0.59592,0.37887,0.29505,0.33384,0.35687,0.27832,0.31596
"Rank9",2,1048576,1.250,0,6.36015,1.28084,1.58104,3.18245,0.64185,0.79409,1.59329,0.36661,0.41371,0.79871,0.19121,0.20959,0.40002,0.09817,0.10759,0.23087,0.05923,0.06819,0.22358,0.07253,0.06648
"RankSmall<1, 11>",2,1048576,1.032,0,10.94791,9.03156,9.90061,5.47933,4.52299,4.96114,2.73456,2.28553,2.48548,1.37573,1.13856,1.24343,0.68865,0.57548,0.62285,0.38749,0.32215,0.34966,0.35716,0.30855,0.32470
"BiRank",2,1048576,1.033,0,11.16551,2.16979,2.80099,5.58214,1.08695,1.40133,2.79417,0.55858,0.70441,1.39686,0.28467,0.35402,0.70048,0.14380,0.17849,0.39313,0.08341,0.10255,0.37082,0.09577,0.11160
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.03332,10.48566,10.71285,6.52742,5.25456,5.38616,3.26877,2.63060,2.69566,1.63800,1.31686,1.35387,0.82043,0.66120,0.67954,0.45878,0.36986,0.37862,0.42753,0.37882,0.34401
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,34359738368,1.031,0,101.51591,21.66955,14.06743,57.60499,11.45144,6.20836,29.22532,5.79475,3.09577,14.59862,2.92763,1.54409,7.32869,1.49234,0.79538,3.75609,0.79623,0.45001,3.16847,0.70062,0.42281
"RankSelect101111",2,34359738368,1.031,0,108.54272,24.62824,18.76260,56.65474,12.64752,9.70178,28.57223,6.43575,5.00220,14.36765,3.26346,2.52798,7.21001,1.69029,1.29285,3.71325,0.91784,0.69925,3.13750,0.82454,0.61644
"Rank9",2,34359738368,1.250,0,108.81204,15.77497,9.70425,56.01269,8.27600,5.19363,28.41033,4.20913,2.66260,14.32675,2.15831,1.35395,7.30835,1.13432,0.71225,3.84089,0.64252,0.44271,3.24726,0.57807,0.43928
"RankSmall<1, 11>",2,34359738368,1.031,0,113.11479,27.75184,20.34448,57.84727,14.08889,10.34945,29.32353,7.15056,5.26352,14.65060,3.65284,2.70357,7.38957,1.90136,1.40715,3.79507,1.05251,0.79237,3.21238,0.93591,0.71514
"BiRank",2,34359738368,1.033,0,107.41648,16.74454,8.50312,53.91826,8.53643,4.34927,27.32210,4.33095,2.18977,13.69894,2.18622,1.11580,6.88455,1.12722,0.57356,3.51398,0.60272,0.32015,2.97288,0.53903,0.30544
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,107.43076,23.97187,12.11054,55.49001,12.49802,6.30770,27.78935,6.33466,3.16924,14.01570,3.21852,1.60966,7.03706,1.67806,0.83032,3.61921,0.92819,0.48422,3.05783,0.82967,0.49066
