ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,1048576,1.032,0,13.12279,8.11106,8.98578,6.57996,4.06070,4.49636,3.29267,2.03313,2.24920,1.64785,1.01911,1.12601,0.82588,0.51045,0.56460,0.46161,0.28709,0.31546,0.28242,0.17774,0.19704
"RankSelect101111",2,1048576,1.032,0,10.63837,8.37425,9.41441,5.31056,4.20177,4.71030,2.65287,2.10066,2.35772,1.33040,1.05285,1.17834,0.66668,0.52859,0.59206,0.37235,0.29824,0.33047,0.22827,0.18326,0.20680
"Rank9",2,1048576,1.250,0,6.36592,1.27381,1.58017,3.17942,0.64147,0.79409,1.59281,0.36915,0.41009,0.79783,0.19071,0.21055,0.39980,0.09875,0.10746,0.22880,0.06104,0.06650,0.14308,0.04151,0.04573
"RankSmall<1, 11>",2,1048576,1.032,0,10.92474,9.31199,9.72809,5.50238,4.66220,4.87939,2.74476,2.34084,2.44989,1.37674,1.17207,1.21826,0.69055,0.58766,0.61247,0.38540,0.32816,0.34166,0.23646,0.20470,0.21043
"BiRank",2,1048576,1.033,0,9.98607,3.09245,3.51203,5.07736,1.54930,1.75613,2.57508,0.78693,0.88165,1.30198,0.39481,0.44237,0.65337,0.19987,0.22222,0.36518,0.12121,0.13539,0.22361,0.07050,0.08200
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.17574,10.54595,10.71297,6.56687,5.26433,5.37790,3.29238,2.63527,2.68052,1.65157,1.32061,1.34526,0.82585,0.66162,0.67413,0.46183,0.37046,0.37801,0.27998,0.23002,0.23270
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,34359738368,1.031,0,100.97833,21.73000,13.90982,58.06724,11.39190,6.12494,29.12857,5.77559,3.09196,14.54071,2.91119,1.53624,7.32133,1.48931,0.78993,3.76284,0.79910,0.45369,1.99086,0.44988,0.30721
"RankSelect101111",2,34359738368,1.031,0,110.20575,24.86250,18.79406,57.42558,12.66127,9.74682,28.75462,6.44929,5.00624,14.35505,3.28923,2.53424,7.26093,1.69395,1.30534,3.74946,0.91801,0.70095,1.96990,0.53895,0.41150
"Rank9",2,34359738368,1.250,0,110.61732,15.75609,9.61861,56.82691,8.36092,5.27398,28.62388,4.25903,2.69231,14.50612,2.17251,1.36422,7.35363,1.13746,0.71724,3.83792,0.64057,0.43398,2.06001,0.43402,0.39719
"RankSmall<1, 11>",2,34359738368,1.031,0,112.37783,27.72361,20.17665,57.47953,14.07526,10.38082,29.30858,7.19533,5.27557,14.67544,3.66781,2.70320,7.36594,1.90706,1.40389,3.78041,1.05467,0.78943,2.00861,0.65779,0.54618
"BiRank",2,34359738368,1.033,0,106.40584,22.43663,8.52674,55.60096,11.81205,4.75248,27.88788,6.02257,2.40407,14.07747,3.03959,1.21749,7.08901,1.58578,0.63147,3.64553,0.86108,0.34809,1.93119,0.52118,0.24248
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,105.93788,23.74410,11.93137,54.77380,12.40978,6.21427,28.09315,6.36767,3.18257,14.06514,3.24709,1.60983,7.04998,1.68568,0.82994,3.61997,0.92994,0.48243,1.92483,0.57896,0.43069
