ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,1048576,1.032,0,18.75435,10.20449,10.74837,6.25073,3.41255,3.59198,3.12723,1.70602,1.79934,2.15410,1.06707,1.33040
"RankSelect101111",2,1048576,1.032,0,10.20079,8.69495,10.35386,3.40401,2.90344,3.46076,1.70388,1.45366,1.73174,1.13684,1.05060,1.21675
"Rank9",2,1048576,1.250,0,6.81281,1.89893,2.42458,2.27730,0.63014,0.81126,1.13961,0.31645,0.40691,0.63676,0.26849,0.30805
"RankSmall<1, 11>",2,1048576,1.032,0,12.46139,10.37346,10.81589,4.17079,3.56987,3.71631,2.08783,1.73897,1.80983,1.67279,1.38852,1.80454
"BiRank",2,1048576,1.033,0,15.73337,3.48334,4.52602,5.23972,1.16157,1.50752,2.62274,0.58454,0.75213,2.03387,0.39390,0.64986
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.42674,10.88281,11.85044,4.47714,3.62001,3.95301,2.23863,1.81372,1.98158,1.85833,1.44173,1.77919
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,34359738368,1.031,0,115.53942,49.40300,15.70037,42.86601,16.58433,5.67638,22.84393,8.92945,3.78773,12.27121,5.49632,3.25280
"RankSelect101111",2,34359738368,1.031,0,116.78196,29.84683,25.16499,38.30950,10.56276,8.91037,20.42879,6.06880,5.05611,11.28261,4.53080,3.89321
"Rank9",2,34359738368,1.250,0,101.81113,16.79811,14.00890,36.12259,7.17648,6.42802,20.03123,6.21511,6.19241,11.32786,5.92294,5.43890
"RankSmall<1, 11>",2,34359738368,1.031,0,101.98026,40.63944,26.62104,38.31134,13.91280,9.47193,20.43587,7.76568,5.34252,11.94435,5.30253,3.95982
"BiRank",2,34359738368,1.033,0,104.12298,20.98785,10.49301,36.02444,7.60270,4.24696,18.81467,4.24343,2.97455,11.25442,2.99707,2.84589
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,99.04276,27.86786,12.86180,34.34462,10.02294,4.44656,17.96382,5.42834,2.94541,13.27301,3.56279,2.81188
