ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,1048576,1.032,0,18.75513,10.22192,10.77241,9.39191,5.12064,5.39541,4.69050,2.55384,2.69322,2.34981,1.28148,1.35011,1.17655,0.64187,0.67630,0.59065,0.32335,0.34131,0.30405,0.18280,0.19454
"RankSelect101111",2,1048576,1.032,0,10.19283,8.70037,10.37633,5.11106,4.37276,5.21435,2.55219,2.18270,2.60051,1.28087,1.09323,1.30270,0.64182,0.54779,0.65299,0.32342,0.27736,0.32936,0.17680,0.15427,0.18060
"Rank9",2,1048576,1.250,0,6.80655,1.86143,2.41531,3.40821,0.94949,1.21247,1.69782,0.47161,0.60816,0.85252,0.23678,0.30650,0.42717,0.12180,0.15549,0.21635,0.06938,0.08329,0.11163,0.06493,0.06029
"RankSmall<1, 11>",2,1048576,1.032,0,12.40618,10.32509,10.86167,6.25320,5.19997,5.45786,3.10550,2.58403,2.71843,1.56204,1.29845,1.36392,0.78177,0.65102,0.68267,0.39363,0.32846,0.34497,0.20376,0.17486,0.18389
"BiRank",2,1048576,1.033,0,15.91982,3.58233,4.53074,7.97422,1.80278,2.28479,3.98687,0.89923,1.14115,2.00043,0.45108,0.57115,1.00121,0.22740,0.28730,0.50355,0.11714,0.14650,0.25579,0.07223,0.08814
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.53540,10.85314,11.84487,6.77579,5.45267,5.95450,3.38370,2.71938,2.96754,1.69777,1.36301,1.48688,0.84944,0.68362,0.74494,0.42860,0.34460,0.37569,0.21959,0.18296,0.19989
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,34359738368,1.031,0,127.67824,57.11045,16.99072,78.16212,28.94657,9.01544,39.46464,14.43419,4.44816,18.73885,6.98543,2.32008,9.55932,3.64335,1.40987,4.97039,1.98328,1.18396,2.69324,1.38405,1.25280
"RankSelect101111",2,34359738368,1.031,0,136.13240,34.32278,27.16124,68.67871,18.16274,14.04777,36.46383,9.18189,7.21448,17.15182,4.42296,3.65861,8.71779,2.35857,1.95206,4.60381,1.53371,1.36527,2.58522,1.39136,1.39804
"Rank9",2,34359738368,1.250,0,112.18186,18.42598,14.98189,69.94253,10.18443,8.47100,36.17805,5.26821,4.22473,17.66891,3.04937,2.67917,9.08993,2.39945,2.32798,5.00789,2.38794,2.26403,3.24662,2.31116,2.33479
"RankSmall<1, 11>",2,34359738368,1.031,0,138.57437,47.49163,28.81461,73.63721,24.69847,15.11673,36.47020,12.34145,7.71076,17.13222,5.94947,3.87304,8.70768,3.11747,2.06015,4.58648,1.79700,1.40281,2.50991,1.53333,1.43422
"BiRank",2,34359738368,1.033,0,120.18253,24.10327,11.76547,61.64724,12.78169,6.58910,32.81409,6.47807,3.25421,16.54128,3.42336,1.92304,8.38561,1.94907,1.40526,4.37197,1.44815,1.38455,2.42739,1.46383,1.29601
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,115.33211,32.37678,12.97152,60.72945,17.16642,6.52578,30.57652,8.51795,3.28378,15.79196,4.47065,1.72842,8.05359,2.42937,1.38445,4.21863,1.62123,1.28754,2.37246,1.47983,1.33917
