ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,1048576,1.032,0,18.78216,9.98582,10.75681,6.26076,3.31836,3.59271,3.12749,1.66239,1.79795,1.72464,0.97654,1.49389
"RankSelect101111",2,1048576,1.032,0,10.27414,8.60391,10.29966,3.43250,2.87347,3.43835,1.71759,1.43755,1.72004,1.37522,1.15234,0.96182
"Rank9",2,1048576,1.250,0,6.77971,1.86246,2.57638,2.26484,0.62932,0.86782,1.13540,0.31628,0.43452,0.65179,0.28749,0.40108
"RankSmall<1, 11>",2,1048576,1.032,0,12.28941,10.23468,10.95678,4.11950,3.42657,3.67694,2.08472,1.70892,1.82989,1.34226,1.45386,1.02078
"BiRank",2,1048576,1.033,0,10.68882,4.34104,5.25752,3.57184,1.45515,1.76006,1.78764,0.72988,0.87903,1.41621,0.62502,0.54424
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.42040,10.90913,12.16571,4.47680,3.64147,4.06365,2.24018,1.82527,2.03451,1.61168,1.17813,1.43616
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSWide",2,34359738368,1.031,0,130.02950,49.20649,15.50014,42.41086,16.68559,5.61262,22.82759,8.95068,3.77482,12.30781,5.34785,3.28914
"RankSelect101111",2,34359738368,1.031,0,101.35551,30.18814,24.95415,38.63697,10.56253,8.90765,20.41405,6.03982,5.04246,12.19969,4.50301,3.64610
"Rank9",2,34359738368,1.250,0,100.30827,16.94258,14.03970,36.44960,7.14789,6.38686,20.14886,6.21511,6.17338,11.41051,5.82125,5.74910
"RankSmall<1, 11>",2,34359738368,1.031,0,103.06972,40.93156,26.82836,38.39846,14.03373,9.52392,20.41628,7.78780,5.35578,11.50244,5.59472,4.00316
"BiRank",2,34359738368,1.033,0,100.45109,29.35572,8.80384,35.05263,10.38268,3.82524,18.35152,5.61235,2.97311,10.18791,4.08052,2.81421
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,98.77123,27.95791,13.12252,34.60001,10.03585,4.51508,18.15035,5.45509,2.94135,10.54176,4.06771,2.95210
