ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,1048576,1.032,0,18.78086,9.96877,10.77148,9.40469,4.99698,5.41256,4.70163,2.49585,2.70009,2.35357,1.25115,1.35332,1.17725,0.62711,0.67837,0.59142,0.31613,0.34268,0.30168,0.18021,0.19584
"RankSelect101111",2,1048576,1.032,0,10.20616,8.57434,10.30206,5.11546,4.30215,5.17160,2.55356,2.14984,2.58149,1.28166,1.07733,1.29521,0.64148,0.54060,0.64879,0.32403,0.27286,0.32780,0.17585,0.14844,0.17932
"Rank9",2,1048576,1.250,0,6.80379,1.86545,2.37119,3.41448,0.95564,1.20049,1.70004,0.47261,0.60275,0.85559,0.23891,0.30182,0.42819,0.12287,0.15248,0.21713,0.06899,0.08039,0.11191,0.06168,0.06290
"RankSmall<1, 11>",2,1048576,1.032,0,12.28994,10.24856,10.94342,6.19769,5.15362,5.50216,3.07638,2.56534,2.74216,1.54994,1.28805,1.37483,0.77441,0.64587,0.68787,0.39103,0.32588,0.34755,0.20658,0.17194,0.19122
"BiRank",2,1048576,1.033,0,10.71169,4.34347,5.30851,5.36788,2.19456,2.65377,2.67927,1.09098,1.31757,1.34353,0.54773,0.66154,0.67299,0.27539,0.33249,0.33940,0.14068,0.16935,0.17396,0.08163,0.09804
"BiRank<BinaryBlock16Spider>",2,1048576,1.033,0,13.43628,10.93902,12.16322,6.71855,5.47154,6.10282,3.36437,2.73149,3.04914,1.68256,1.36909,1.52898,0.84347,0.68651,0.76540,0.42398,0.34648,0.38606,0.21827,0.18500,0.20399
ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_2,loop_2,stream_2,latency_4,loop_4,stream_4,latency_8,loop_8,stream_8,latency_16,loop_16,stream_16,latency_32,loop_32,stream_32,latency_64,loop_64,stream_64
"RSWide",2,34359738368,1.031,0,130.48128,57.63633,17.43054,80.80905,29.18162,8.90405,40.11709,14.70009,4.55903,18.96252,7.04510,2.26306,9.59877,3.65360,1.40474,4.98444,1.98232,1.17487,2.68580,1.37522,1.26782
"RankSelect101111",2,34359738368,1.031,0,116.23225,35.52905,27.65063,74.40092,18.24103,14.37132,36.50463,9.20123,7.23860,17.28088,4.44708,3.67185,8.77607,2.36318,1.95537,4.60886,1.53064,1.37070,2.59494,1.38424,1.40098
"Rank9",2,34359738368,1.250,0,113.45075,18.82584,15.64202,70.11196,10.31285,8.37102,36.72924,5.29133,4.23409,17.80101,3.02895,2.63607,9.16961,2.35840,2.28183,5.03008,2.33623,2.24129,3.21014,2.28543,2.32283
"RankSmall<1, 11>",2,34359738368,1.031,0,138.78557,47.79762,28.64930,73.31658,24.95363,15.00321,36.16921,12.37166,7.61433,17.21722,6.02896,3.90508,8.74169,3.15152,2.07697,4.55846,1.80140,1.39068,2.50854,1.53316,1.42601
"BiRank",2,34359738368,1.033,0,113.14224,33.45964,9.83268,60.34845,17.16028,5.35407,30.92214,8.87573,2.70234,15.77886,4.62088,1.79736,8.12426,2.51499,1.36613,4.21561,1.62773,1.35810,2.34111,1.41746,1.26265
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,116.40465,33.38092,13.20794,60.29010,16.60274,6.65835,30.95317,8.59219,3.34005,15.91390,4.51044,1.73877,8.07735,2.43395,1.33579,4.22317,1.59426,1.27640,2.34843,1.42352,1.27509
